,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C17-20,-105.082724,0.000000,0.000000
C17-21,-109.944757,0.000000,0.000000
C17-22,-107.579961,0.000000,0.000000
C17-23,-96.232119,0.000000,0.000000
C17-24,-86.540910,0.000000,0.000000
C18-1,30.191708,0.000000,0.000000
C18-2,28.812455,0.000000,0.000000
C18-3,28.153900,0.000000,0.000000
C18-4,26.092591,0.000000,0.000000
C18-5,37.241040,0.000000,0.000000
C18-6,32.196757,0.000000,0.000000
C18-7,38.306779,0.000000,0.000000
C18-8,13.969750,0.000000,0.000000
C18-9,-57.883957,0.000000,0.000000
C18-10,-138.422322,0.000000,0.000000
C18-11,24.532307,0.000000,0.000000
C18-12,-137.394858,0.000000,0.000000
C18-13,-104.712634,0.000000,0.000000
C18-14,-101.012422,0.000000,0.000000
C18-15,-92.458551,0.000000,0.000000
C18-16,-40.498039,0.000000,0.000000
C18-17,17.749849,0.000000,0.000000
C18-18,-39.501152,0.000000,0.000000
C18-19,-56.712435,0.000000,0.000000
C18-20,-35.625089,0.000000,0.000000
C18-21,-38.706054,0.000000,0.000000
C18-22,-42.120572,0.000000,0.000000
C18-23,7.731543,0.000000,0.000000
C18-24,36.438991,0.000000,0.000000
C19-1,-126.182946,0.000000,0.000000
C19-2,-121.124600,0.000000,0.000000
C19-3,-124.857325,0.000000,0.000000
C19-4,-138.768774,0.000000,0.000000
C19-5,-53.854999,0.000000,0.000000
C19-6,-117.327910,0.000000,0.000000
C19-7,-111.840365,0.000000,0.000000
C19-8,-88.999984,0.000000,0.000000
C19-9,-143.399024,0.000000,0.000000
C19-10,-111.438653,0.000000,0.000000
C19-11,-126.208688,0.000000,0.000000
C19-12,115.136951,0.000000,0.000000
C19-13,77.573938,0.000000,0.000000
C19-14,49.987222,0.000000,0.000000
C19-15,-54.759567,0.000000,0.000000
C19-16,-80.546285,0.000000,0.000000
C19-17,-128.354867,0.000000,0.000000
C19-18,-49.942262,0.000000,0.000000
C19-19,-29.710138,0.000000,0.000000
C19-20,-49.550881,0.000000,0.000000
C19-21,-55.144568,0.000000,0.000000
C19-22,-47.113340,0.000000,0.000000
C19-23,-91.990534,0.000000,0.000000
C19-24,-121.911577,0.000000,0.000000
C20-1,3.439992,0.000000,0.000000
C20-2,3.137434,0.000000,0.000000
C20-3,1.726905,0.000000,0.000000
C20-4,-3.146907,0.000000,0.000000
C20-5,25.205101,0.000000,0.000000
C20-6,7.217687,0.000000,0.000000
C20-7,14.302668,0.000000,0.000000
C20-8,0.544971,0.000000,0.000000
C20-9,-66.711503,0.000000,0.000000
C20-10,-120.246897,0.000000,0.000000
C20-11,4.967448,0.000000,0.000000
C20-12,-71.809860,0.000000,0.000000
C20-13,-44.934662,0.000000,0.000000
C20-14,-58.556291,0.000000,0.000000
C20-15,-66.609898,0.000000,0.000000
C20-16,-40.334609,0.000000,0.000000
C20-17,-5.119346,0.000000,0.000000
C20-18,-45.460238,0.000000,0.000000
C20-19,-57.466598,0.000000,0.000000
C20-20,-41.807028,0.000000,0.000000
C20-21,-45.961705,0.000000,0.000000
C20-22,-47.635645,0.000000,0.000000
C20-23,-10.222011,0.000000,0.000000
C20-24,10.408298,0.000000,0.000000
C21-1,-69.528994,0.000000,0.000000
C21-2,-66.750841,0.000000,0.000000
C21-3,-68.891058,0.000000,0.000000
C21-4,-76.846277,0.000000,0.000000
C21-5,-28.365663,0.000000,0.000000
C21-6,-64.428014,0.000000,0.000000
C21-7,-61.005207,0.000000,0.000000
C21-8,-53.861072,0.000000,0.000000
C21-9,-83.320990,0.000000,0.000000
C21-10,-90.146668,0.000000,0.000000
C21-11,-84.774840,0.000000,0.000000
C21-12,23.176418,0.000000,0.000000
C21-13,19.353012,0.000000,0.000000
C21-14,26.083284,0.000000,0.000000
C21-15,-49.534372,0.000000,0.000000
C21-16,-49.075726,0.000000,0.000000
C21-17,-70.323197,0.000000,0.000000
C21-18,-37.322295,0.000000,0.000000
C21-19,-28.112995,0.000000,0.000000
C21-20,-36.458965,0.000000,0.000000
C21-21,-39.778776,0.000000,0.000000
C21-22,-35.433690,0.000000,0.000000
C21-23,-53.969058,0.000000,0.000000
C21-24,-66.784586,0.000000,0.000000
C22-1,-79.418759,0.000000,0.000000
C22-2,-76.154349,0.000000,0.000000
C22-3,-77.762345,0.000000,0.000000
C22-4,-83.942959,0.000000,0.000000
C22-5,-45.532347,0.000000,0.000000
C22-6,-75.815705,0.000000,0.000000
C22-7,-75.908427,0.000000,0.000000
C22-8,-60.352674,0.000000,0.000000
C22-9,-56.091769,0.000000,0.000000
C22-10,-34.165238,0.000000,0.000000
C22-11,-97.259736,0.000000,0.000000
C22-12,65.459607,0.000000,0.000000
C22-13,46.369033,0.000000,0.000000
C22-14,61.388281,0.000000,0.000000
C22-15,-18.477690,0.000000,0.000000
C22-16,-32.463037,0.000000,0.000000
C22-17,-75.581856,0.000000,0.000000
C22-18,-16.530704,0.000000,0.000000
C22-19,0.361335,0.000000,0.000000
C22-20,-17.583704,0.000000,0.000000
C22-21,-18.992867,0.000000,0.000000
C22-22,-13.224792,0.000000,0.000000
C22-23,-54.532668,0.000000,0.000000
C22-24,-80.203485,0.000000,0.000000
C23-1,-208.944414,0.000000,0.000000
C23-2,-200.265062,0.000000,0.000000
C23-3,-203.660235,0.000000,0.000000
C23-4,-217.019327,0.000000,0.000000
C23-5,-132.903401,0.000000,0.000000
C23-6,-201.685075,0.000000,0.000000
C23-7,-205.925148,0.000000,0.000000
C23-8,-179.781680,0.000000,0.000000
C23-9,-179.607329,0.000000,0.000000
C23-10,-194.701007,0.000000,0.000000
C23-11,-212.479001,0.000000,0.000000
C23-12,0.492218,0.000000,0.000000
C23-13,-36.825303,0.000000,0.000000
C23-14,74.498868,0.000000,0.000000
C23-15,-168.207527,0.000000,0.000000
C23-16,-193.533947,0.000000,0.000000
C23-17,-205.352060,0.000000,0.000000
C23-18,-179.531317,0.000000,0.000000
C23-19,-159.329879,0.000000,0.000000
C23-20,-175.334810,0.000000,0.000000
C23-21,-176.663075,0.000000,0.000000
C23-22,-160.684045,0.000000,0.000000
C23-23,-194.636848,0.000000,0.000000
C23-24,-214.922333,0.000000,0.000000
C24-1,51.335879,0.000000,0.000000
C24-2,47.001220,0.000000,0.000000
C24-3,41.460253,0.000000,0.000000
C24-4,73.741950,0.000000,0.000000
C24-5,83.205819,0.000000,0.000000
C24-6,53.582544,0.000000,0.000000
C24-7,79.891382,0.000000,0.000000
C24-8,53.874166,0.000000,0.000000
C24-9,-47.071046,0.000000,0.000000
C24-10,-85.397314,0.000000,0.000000
C24-11,21.717257,0.000000,0.000000
C24-12,0.428599,0.000000,0.000000
C24-13,-2.152163,0.000000,0.000000
C24-14,-31.260139,0.000000,0.000000
C24-15,-33.910410,0.000000,0.000000
C24-16,69.625395,0.000000,0.000000
C24-17,62.519290,0.000000,0.000000
C24-18,54.944196,0.000000,0.000000
C24-19,50.733042,0.000000,0.000000
C24-20,57.979023,0.000000,0.000000
C24-21,59.770974,0.000000,0.000000
C24-22,61.022851,0.000000,0.000000
C24-23,76.363733,0.000000,0.000000
C24-24,71.684969,0.000000,0.000000
C25-1-1,-120.192880,0.000000,0.000000
C25-1-2,-116.461216,0.000000,0.000000
C25-1-3,-118.031229,0.000000,0.000000
C25-1-4,-110.647593,0.000000,0.000000
C25-1-5,-55.977124,0.000000,0.000000
C25-1-6,-109.008833,0.000000,0.000000
C25-1-7,-98.747110,0.000000,0.000000
C25-1-8,-81.188318,0.000000,0.000000
C25-1-9,-118.895017,0.000000,0.000000
C25-1-10,-128.906184,0.000000,0.000000
C25-1-11,-98.401053,0.000000,0.000000
C25-1-12,27.320428,0.000000,0.000000
C25-1-13,2.433547,0.000000,0.000000
C25-1-14,47.120061,0.000000,0.000000
C25-1-15,-98.463731,0.000000,0.000000
C25-1-16,-92.076999,0.000000,0.000000
C25-1-17,-108.436286,0.000000,0.000000
C25-1-18,-100.311741,0.000000,0.000000
C25-1-19,-90.040535,0.000000,0.000000
C25-1-20,-97.380217,0.000000,0.000000
C25-1-21,-97.054644,0.000000,0.000000
C25-1-22,-86.200823,0.000000,0.000000
C25-1-23,-99.860564,0.000000,0.000000
C25-1-24,-114.082864,0.000000,0.000000
C25-2-1,-120.192880,0.000000,0.000000
C25-2-2,-116.461216,0.000000,0.000000
C25-2-3,-118.031229,0.000000,0.000000
C25-2-4,-110.647593,0.000000,0.000000
C25-2-5,-55.977124,0.000000,0.000000
C25-2-6,-109.008833,0.000000,0.000000
C25-2-7,-98.747110,0.000000,0.000000
C25-2-8,-81.188318,0.000000,0.000000
C25-2-9,-118.895017,0.000000,0.000000
C25-2-10,-128.906184,0.000000,0.000000
C25-2-11,-98.401053,0.000000,0.000000
C25-2-12,27.320428,0.000000,0.000000
C25-2-13,2.433547,0.000000,0.000000
C25-2-14,47.120061,0.000000,0.000000
C25-2-15,-98.463731,0.000000,0.000000
C25-2-16,-92.076999,0.000000,0.000000
C25-2-17,-108.436286,0.000000,0.000000
C25-2-18,-100.311741,0.000000,0.000000
C25-2-19,-90.040535,0.000000,0.000000
C25-2-20,-97.380217,0.000000,0.000000
C25-2-21,-97.054644,0.000000,0.000000
C25-2-22,-86.200823,0.000000,0.000000
C25-2-23,-99.860564,0.000000,0.000000
C25-2-24,-114.082864,0.000000,0.000000
C26-1,53.815937,0.000000,0.000000
C26-2,56.604065,0.000000,0.000000
C26-3,65.836625,0.000000,0.000000
C26-4,19.690219,0.000000,0.000000
C26-5,-100.418290,0.000000,0.000000
C26-6,26.593775,0.000000,0.000000
C26-7,-36.133638,0.000000,0.000000
C26-8,-56.816892,0.000000,0.000000
C26-9,110.415810,0.000000,0.000000
C26-10,161.894909,0.000000,0.000000
C26-11,-10.341598,0.000000,0.000000
C26-12,-242.401312,0.000000,0.000000
C26-13,-189.645650,0.000000,0.000000
C26-14,-250.111271,0.000000,0.000000
C26-15,45.461567,0.000000,0.000000
C26-16,-70.095566,0.000000,0.000000
C26-17,-34.984269,0.000000,0.000000
C26-18,-66.071902,0.000000,0.000000
C26-19,-82.453302,0.000000,0.000000
C26-20,-68.752123,0.000000,0.000000
C26-21,-64.225433,0.000000,0.000000
C26-22,-74.198080,0.000000,0.000000
C26-23,-44.368798,0.000000,0.000000
C26-24,4.499265,0.000000,0.000000
C27-1,-481.037940,0.000000,0.000000
C27-2,-463.016707,0.000000,0.000000
C27-3,-474.989418,0.000000,0.000000
C27-4,-469.038142,0.000000,0.000000
C27-5,-290.249183,0.000000,0.000000
C27-6,-466.192027,0.000000,0.000000
C27-7,-461.301402,0.000000,0.000000
C27-8,-390.636408,0.000000,0.000000
C27-9,-443.430720,0.000000,0.000000
C27-10,-446.029656,0.000000,0.000000
C27-11,-436.087383,0.000000,0.000000
C27-12,55.740714,0.000000,0.000000
C27-13,-81.095659,0.000000,0.000000
C27-14,102.336278,0.000000,0.000000
