timepoint,zone,gross_load
7,320,94.456118275
7,321,85.82274300499999
7,322,78.106047505
7,323,72.78078797999999
7,324,69.92765021
7,325,68.49996068499999
8,301,67.53397293999998
8,302,67.50931896499999
8,303,71.08638721999999
8,304,78.664123935
8,305,83.86163101
8,306,92.194675995
8,307,96.93048128999999
8,308,101.90610255000001
8,309,105.67143755500001
8,310,106.74500629999996
8,311,108.383375275
8,312,108.38785781999998
8,313,106.44915853999998
8,314,104.38046555500001
8,315,111.155827305
8,316,107.57875905500002
8,317,102.55158854499997
8,318,103.51689472587718
8,319,96.66561811769004
8,320,87.8302925489766
8,321,79.93308955190058
8,322,74.48326255263157
8,323,71.56338471783624
8,324,70.10229894663742
8,325,69.113714997076
9,301,69.08848432090643
9,302,72.7492266871345
9,303,80.50422040131578
9,304,85.82330658918129
9,305,94.35127660307018
9,306,99.19786096929825
9,307,104.28987103070176
9,308,108.14328404751461
9,309,109.24196551169591
9,310,110.91865890716372
9,311,110.92324630701752
9,312,108.93919733625732
9,313,106.82211387207603
9,314,113.75596361622807
9,315,110.09522125511695
9,316,104.95045611330409
9,317,115.34739698026317
9,318,107.71311733114037
9,319,97.86804026885966
9,320,89.06829978640353
9,321,82.99563541578947
9,322,79.74205725701756
9,323,78.11399025482456
9,324,77.01242528245615
9,325,76.9843111004386
10,301,81.06342402280703
10,302,89.70470273289475
10,303,95.63168448508772
10,304,105.13427964342105
10,305,110.5347593657895
10,306,116.20871343421054
10,307,120.50251651008773
10,308,121.72676157017548
10,309,123.59507706798246
10,310,123.60018874210527
10,311,121.38939131754388
10,312,119.03035545745614
10,313,126.75664517236844
10,314,122.67753225570176
10,315,116.94479395482456
10,316,0.0
10,317,0.0
10,318,0.0
10,319,0.0
10,320,0.0
10,321,0.0
10,322,0.0
10,323,0.0
10,324,0.0
10,325,0.0
11,301,0.0
11,302,0.0
11,303,0.0
11,304,0.0
11,305,0.0
11,306,0.0
11,307,0.0
11,308,0.0
11,309,0.0
11,310,0.0
11,311,0.0
11,312,0.0
11,313,0.0
11,314,0.0
11,315,0.0
11,316,0.0
11,317,0.0
11,318,0.0
11,319,0.0
11,320,0.0
11,321,0.0
11,322,0.0
11,323,0.0
11,324,0.0
11,325,0.0
12,301,0.0
12,302,0.0
