,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C10-24,-64.016139,0.000000,0.000000
C11-1,-54.498270,0.000000,0.000000
C11-2,-51.999777,0.000000,0.000000
C11-3,-50.843098,0.000000,0.000000
C11-4,-50.153350,0.000000,0.000000
C11-5,-50.764457,0.000000,0.000000
C11-6,-53.611919,0.000000,0.000000
C11-7,-59.668921,0.000000,0.000000
C11-8,-63.700915,0.000000,0.000000
C11-9,-68.301418,0.000000,0.000000
C11-10,-71.466722,0.000000,0.000000
C11-11,-73.649012,0.000000,0.000000
C11-12,-74.610727,0.000000,0.000000
C11-13,-74.058601,0.000000,0.000000
C11-14,-74.258480,0.000000,0.000000
C11-15,-73.450771,0.000000,0.000000
C11-16,-72.369456,0.000000,0.000000
C11-17,-73.842338,0.000000,0.000000
C11-18,-82.378172,0.000000,0.000000
C11-19,-81.116638,0.000000,0.000000
C11-20,-78.385499,0.000000,0.000000
C11-21,-74.828628,0.000000,0.000000
C11-22,-69.851303,0.000000,0.000000
C11-23,-63.895879,0.000000,0.000000
C11-24,-57.742215,0.000000,0.000000
C12-1-1,-96.197055,0.000000,0.000000
C12-1-2,-92.946481,0.000000,0.000000
C12-1-3,-81.777418,0.000000,0.000000
C12-1-4,-90.521498,0.000000,0.000000
C12-1-5,-91.309342,0.000000,0.000000
C12-1-6,-95.073760,0.000000,0.000000
C12-1-7,-103.050882,0.000000,0.000000
C12-1-8,-106.524729,0.000000,0.000000
C12-1-9,-95.288124,0.000000,0.000000
C12-1-10,-92.416591,0.000000,0.000000
C12-1-11,-96.832180,0.000000,0.000000
C12-1-12,-75.657184,0.000000,0.000000
C12-1-13,-74.979919,0.000000,0.000000
C12-1-14,-70.195015,0.000000,0.000000
C12-1-15,-73.579250,0.000000,0.000000
C12-1-16,-82.246414,0.000000,0.000000
C12-1-17,-100.134340,0.000000,0.000000
C12-1-18,-117.768946,0.000000,0.000000
C12-1-19,-119.563941,0.000000,0.000000
C12-1-20,-116.285687,0.000000,0.000000
C12-1-21,-109.529520,0.000000,0.000000
C12-1-22,-101.832255,0.000000,0.000000
C12-1-23,-90.627394,0.000000,0.000000
C12-1-24,-80.100353,0.000000,0.000000
C13-2-1,-32.854848,0.000000,0.000000
C13-2-2,-30.188991,0.000000,0.000000
C13-2-3,-38.619038,0.000000,0.000000
C13-2-4,-28.241635,0.000000,0.000000
C13-2-5,-28.900892,0.000000,0.000000
C13-2-6,-31.879265,0.000000,0.000000
C13-2-7,-38.245123,0.000000,0.000000
C13-2-8,-42.902371,0.000000,0.000000
C13-2-9,-37.807967,0.000000,0.000000
C13-2-10,-39.299939,0.000000,0.000000
C13-2-11,-55.268680,0.000000,0.000000
C13-2-12,-51.437684,0.000000,0.000000
C13-2-13,-63.765848,0.000000,0.000000
C13-2-14,-64.115733,0.000000,0.000000
C13-2-15,-62.685508,0.000000,0.000000
C13-2-16,-62.316124,0.000000,0.000000
C13-2-17,-70.790983,0.000000,0.000000
C13-2-18,-77.302565,0.000000,0.000000
C13-2-19,-72.520257,0.000000,0.000000
C13-2-20,-69.331174,0.000000,0.000000
C13-2-21,-67.664671,0.000000,0.000000
C13-2-22,-63.575630,0.000000,0.000000
C13-2-23,-60.678048,0.000000,0.000000
C13-2-24,-56.633211,0.000000,0.000000
C14-1,43.970039,0.000000,0.000000
C14-2,49.529946,0.000000,0.000000
C14-3,-0.297513,0.000000,0.000000
C14-4,53.515425,0.000000,0.000000
C14-5,52.116408,0.000000,0.000000
C14-6,46.104343,0.000000,0.000000
C14-7,33.150963,0.000000,0.000000
C14-8,26.333126,0.000000,0.000000
C14-9,37.722660,0.000000,0.000000
C14-10,13.670695,0.000000,0.000000
C14-11,-42.092782,0.000000,0.000000
