,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C12-1-15,-90.238406,0.000000,0.000000
C12-1-16,-87.557426,0.000000,0.000000
C12-1-17,-85.895807,0.000000,0.000000
C12-1-18,-95.077432,0.000000,0.000000
C12-1-19,-95.846623,0.000000,0.000000
C12-1-20,-92.607027,0.000000,0.000000
C12-1-21,-90.531285,0.000000,0.000000
C12-1-22,-87.374152,0.000000,0.000000
C12-1-23,-83.487788,0.000000,0.000000
C12-1-24,-77.353148,0.000000,0.000000
C13-2-1,-41.640754,0.000000,0.000000
C13-2-2,-36.490554,0.000000,0.000000
C13-2-3,-32.432669,0.000000,0.000000
C13-2-4,-31.787630,0.000000,0.000000
C13-2-5,-44.263534,0.000000,0.000000
C13-2-6,-52.314234,0.000000,0.000000
C13-2-7,-55.495592,0.000000,0.000000
C13-2-8,-58.274192,0.000000,0.000000
C13-2-9,-44.032576,0.000000,0.000000
C13-2-10,-49.998317,0.000000,0.000000
C13-2-11,-55.106206,0.000000,0.000000
C13-2-12,-53.541471,0.000000,0.000000
C13-2-13,-52.850858,0.000000,0.000000
C13-2-14,-52.245761,0.000000,0.000000
C13-2-15,-53.547737,0.000000,0.000000
C13-2-16,-53.934507,0.000000,0.000000
C13-2-17,-57.375310,0.000000,0.000000
C13-2-18,-65.189572,0.000000,0.000000
C13-2-19,-69.055623,0.000000,0.000000
C13-2-20,-68.502749,0.000000,0.000000
C13-2-21,-65.943248,0.000000,0.000000
C13-2-22,-62.451852,0.000000,0.000000
C13-2-23,-57.161374,0.000000,0.000000
C13-2-24,-55.102404,0.000000,0.000000
C14-1,-7.984365,0.000000,0.000000
C14-2,-1.647852,0.000000,0.000000
C14-3,67.532324,0.000000,0.000000
C14-4,29.638188,0.000000,0.000000
C14-5,-22.223570,0.000000,0.000000
C14-6,-95.311676,0.000000,0.000000
C14-7,-66.332951,0.000000,0.000000
C14-8,-91.570913,0.000000,0.000000
C14-9,-75.620010,0.000000,0.000000
C14-10,-71.878380,0.000000,0.000000
C14-11,-52.395897,0.000000,0.000000
C14-12,-30.466202,0.000000,0.000000
C14-13,-31.870848,0.000000,0.000000
C14-14,-34.052164,0.000000,0.000000
C14-15,-45.187081,0.000000,0.000000
C14-16,-52.309030,0.000000,0.000000
C14-17,-74.223779,0.000000,0.000000
C14-18,-90.182306,0.000000,0.000000
C14-19,-98.602100,0.000000,0.000000
C14-20,-100.175537,0.000000,0.000000
C14-21,-95.047164,0.000000,0.000000
C14-22,-87.977556,0.000000,0.000000
C14-23,-83.608233,0.000000,0.000000
C14-24,-85.469305,0.000000,0.000000
C15-1,7.164640,0.000000,0.000000
C15-2,9.287694,0.000000,0.000000
C15-3,55.479000,0.000000,0.000000
C15-4,15.763187,0.000000,0.000000
C15-5,-31.190668,0.000000,0.000000
C15-6,-92.096359,0.000000,0.000000
C15-7,-73.594320,0.000000,0.000000
C15-8,-111.390113,0.000000,0.000000
C15-9,-92.230540,0.000000,0.000000
C15-10,-83.278701,0.000000,0.000000
C15-11,-49.355178,0.000000,0.000000
C15-12,-25.746635,0.000000,0.000000
C15-13,-23.999092,0.000000,0.000000
C15-14,-26.090419,0.000000,0.000000
C15-15,-36.081782,0.000000,0.000000
C15-16,-42.458944,0.000000,0.000000
C15-17,-60.875816,0.000000,0.000000
C15-18,-75.214794,0.000000,0.000000
C15-19,-99.922094,0.000000,0.000000
C15-20,-113.418450,0.000000,0.000000
C15-21,-105.556765,0.000000,0.000000
C15-22,-96.907635,0.000000,0.000000
C15-23,-68.904932,0.000000,0.000000
C15-24,-71.520190,0.000000,0.000000
C16-1,-91.125033,0.000000,0.000000
C16-2,-95.205365,0.000000,0.000000
