,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C8-27,-4.684898,0.000000,0.000000
C8-28,-4.455609,0.000000,0.000000
C8-29,-4.741105,0.000000,0.000000
C8-30,-4.710113,0.000000,0.000000
C8-31,-4.769706,0.000000,0.000000
C8-32,-4.772139,0.000000,0.000000
C8-33,-4.806761,0.000000,0.000000
C8-34,-4.802482,0.000000,0.000000
C8-35,-4.824543,0.000000,0.000000
C8-36,-4.839979,0.000000,0.000000
C8-37,-4.874253,0.000000,0.000000
C8-38,-4.901267,0.000000,0.000000
C8-39,-4.931327,0.000000,0.000000
C8-40,-4.949753,0.000000,0.000000
C8-41,-4.961168,0.000000,0.000000
C8-42,-5.034106,0.000000,0.000000
C8-43,-4.875781,0.000000,0.000000
C8-44,-5.055748,0.000000,0.000000
C8-45,-4.703651,0.000000,0.000000
C8-46,-5.591987,0.000000,0.000000
C8-47,-4.545455,0.000000,0.000000
C8-48,-4.383679,0.000000,0.000000
C9-1,-1.130618,0.000000,0.000000
C9-2,0.721822,0.000000,0.000000
C9-3,-1.161056,0.000000,0.000000
C9-4,-1.199390,0.000000,0.000000
C9-5,-1.097612,0.000000,0.000000
C9-6,-0.309968,0.000000,0.000000
C9-7,0.695996,0.000000,0.000000
C9-8,-1.142670,0.000000,0.000000
C9-9,-1.016530,0.000000,0.000000
C9-10,-1.033459,0.000000,0.000000
C9-11,-1.132863,0.000000,0.000000
C9-12,-0.947793,0.000000,0.000000
C9-13,-1.174742,0.000000,0.000000
C9-14,-1.023615,0.000000,0.000000
C9-15,-0.873773,0.000000,0.000000
C9-16,-0.929466,0.000000,0.000000
C9-17,-0.257134,0.000000,0.000000
C9-18,-0.805752,0.000000,0.000000
C9-19,0.456862,0.000000,0.000000
C9-20,-0.642727,0.000000,0.000000
C9-21,-0.546361,0.000000,0.000000
C9-22,-0.334814,0.000000,0.000000
C9-23,-0.427162,0.000000,0.000000
C9-24,-0.393868,0.000000,0.000000
C9-25,-0.338901,0.000000,0.000000
C9-26,0.164034,0.000000,0.000000
C9-27,-0.354876,0.000000,0.000000
C9-28,-0.111095,0.000000,0.000000
C9-29,-0.306369,0.000000,0.000000
C9-30,-0.106458,0.000000,0.000000
C9-31,-0.217219,0.000000,0.000000
C9-32,-0.153583,0.000000,0.000000
C9-33,-0.166636,0.000000,0.000000
C9-34,-0.112187,0.000000,0.000000
C9-35,-0.112321,0.000000,0.000000
C9-36,-0.135291,0.000000,0.000000
C9-37,-0.145355,0.000000,0.000000
C9-38,-0.185551,0.000000,0.000000
C9-39,-0.197345,0.000000,0.000000
C9-40,-0.234171,0.000000,0.000000
C9-41,-0.244569,0.000000,0.000000
C9-42,-0.384871,0.000000,0.000000
C9-43,-0.484471,0.000000,0.000000
C9-44,-0.330724,0.000000,0.000000
C9-45,-0.846432,0.000000,0.000000
C9-46,-2.099196,0.000000,0.000000
C9-47,-1.103155,0.000000,0.000000
C9-48,-1.339724,0.000000,0.000000
C10-1,-3.538107,0.000000,0.000000
C10-2,-2.376203,0.000000,0.000000
C10-3,-3.573093,0.000000,0.000000
C10-4,-3.607225,0.000000,0.000000
C10-5,-3.544594,0.000000,0.000000
C10-6,-3.101999,0.000000,0.000000
C10-7,-2.431770,0.000000,0.000000
C10-8,-3.610623,0.000000,0.000000
C10-9,-3.537656,0.000000,0.000000
C10-10,-3.563250,0.000000,0.000000
C10-11,-3.645068,0.000000,0.000000
C10-12,-3.539990,0.000000,0.000000
C10-13,-3.625876,0.000000,0.000000
C10-14,-3.558479,0.000000,0.000000
C10-15,-3.491496,0.000000,0.000000
C10-16,-3.546344,0.000000,0.000000
C10-17,-3.198525,0.000000,0.000000
C10-18,-3.521672,0.000000,0.000000
C10-19,-2.751961,0.000000,0.000000
C10-20,-3.479132,0.000000,0.000000
C10-21,-3.451076,0.000000,0.000000
C10-22,-3.349823,0.000000,0.000000
C10-23,-3.444026,0.000000,0.000000
C10-24,-3.470295,0.000000,0.000000
C10-25,-3.449727,0.000000,0.000000
C10-26,-3.161630,0.000000,0.000000
C10-27,-3.534458,0.000000,0.000000
C10-28,-3.419635,0.000000,0.000000
C10-29,-3.551533,0.000000,0.000000
C10-30,-3.452345,0.000000,0.000000
C10-31,-3.547311,0.000000,0.000000
C10-32,-3.529882,0.000000,0.000000
C10-33,-3.553276,0.000000,0.000000
C10-34,-3.534973,0.000000,0.000000
C10-35,-3.557834,0.000000,0.000000
C10-36,-3.586266,0.000000,0.000000
C10-37,-3.608938,0.000000,0.000000
C10-38,-3.658694,0.000000,0.000000
C10-39,-3.681511,0.000000,0.000000
C10-40,-3.724748,0.000000,0.000000
C10-41,-3.739262,0.000000,0.000000
C10-42,-3.852669,0.000000,0.000000
C10-43,-3.944650,0.000000,0.000000
C10-44,-3.859526,0.000000,0.000000
C10-45,-4.238460,0.000000,0.000000
C10-46,-5.011973,0.000000,0.000000
C10-47,-4.433437,0.000000,0.000000
C10-48,-4.607168,0.000000,0.000000
C11-1,-4.156509,0.000000,0.000000
C11-2,-4.171254,0.000000,0.000000
C11-3,-4.179446,0.000000,0.000000
C11-4,-4.194191,0.000000,0.000000
C11-5,-4.197468,0.000000,0.000000
C11-6,-4.200744,0.000000,0.000000
C11-7,-4.230235,0.000000,0.000000
C11-8,-4.251534,0.000000,0.000000
C11-9,-4.261364,0.000000,0.000000
C11-10,-4.282662,0.000000,0.000000
C11-11,-4.310514,0.000000,0.000000
C11-12,-4.328536,0.000000,0.000000
C11-13,-4.244980,0.000000,0.000000
C11-14,-4.285939,0.000000,0.000000
C11-15,-4.325260,0.000000,0.000000
C11-16,-4.353112,0.000000,0.000000
C11-17,-4.400624,0.000000,0.000000
C11-18,-4.430114,0.000000,0.000000
C11-19,-4.472712,0.000000,0.000000
C11-20,-4.518586,0.000000,0.000000
C11-21,-4.566098,0.000000,0.000000
C11-22,-4.613610,0.000000,0.000000
C11-23,-4.666038,0.000000,0.000000
C11-24,-4.734848,0.000000,0.000000
C11-25,-4.754509,0.000000,0.000000
C11-26,-4.797106,0.000000,0.000000
C11-27,-4.861002,0.000000,0.000000
C11-28,-4.903599,0.000000,0.000000
C11-29,-4.931451,0.000000,0.000000
C11-30,-4.970772,0.000000,0.000000
C11-31,-5.006816,0.000000,0.000000
C11-32,-5.039583,0.000000,0.000000
C11-33,-5.062520,0.000000,0.000000
C11-34,-5.085457,0.000000,0.000000
C11-35,-5.118224,0.000000,0.000000
C11-36,-5.137884,0.000000,0.000000
C11-37,-5.162459,0.000000,0.000000
C11-38,-5.196865,0.000000,0.000000
C11-39,-5.219802,0.000000,0.000000
C11-40,-5.247654,0.000000,0.000000
C11-41,-5.259122,0.000000,0.000000
C11-42,-5.295166,0.000000,0.000000
C11-43,-5.321380,0.000000,0.000000
C11-44,-5.354147,0.000000,0.000000
C11-45,-5.390191,0.000000,0.000000
C11-46,-5.401659,0.000000,0.000000
C11-47,-5.418043,0.000000,0.000000
C11-48,-5.434426,0.000000,0.000000
C12-1-1,-6.965001,0.000000,0.000000
C12-1-2,-7.510811,0.000000,0.000000
C12-1-3,-6.994501,0.000000,0.000000
C12-1-4,-7.011445,0.000000,0.000000
C12-1-5,-7.052368,0.000000,0.000000
C12-1-6,-6.524366,0.000000,0.000000
C12-1-7,-7.618581,0.000000,0.000000
C12-1-8,-7.123072,0.000000,0.000000
C12-1-9,-7.173484,0.000000,0.000000
C12-1-10,-7.200111,0.000000,0.000000
C12-1-11,-7.220789,0.000000,0.000000
C12-1-12,-7.307641,0.000000,0.000000
C12-1-13,-7.110866,0.000000,0.000000
C12-1-14,-7.219479,0.000000,0.000000
C12-1-15,-7.314781,0.000000,0.000000
C12-1-16,-7.338078,0.000000,0.000000
C12-1-17,-6.971195,0.000000,0.000000
C12-1-18,-7.489393,0.000000,0.000000
C12-1-19,-7.916536,0.000000,0.000000
C12-1-20,-7.682932,0.000000,0.000000
C12-1-21,-7.784172,0.000000,0.000000
C12-1-22,-7.922406,0.000000,0.000000
C12-1-23,-7.985857,0.000000,0.000000
C12-1-24,-8.107301,0.000000,0.000000
C12-1-25,-8.145115,0.000000,0.000000
C12-1-26,-8.344719,0.000000,0.000000
C12-1-27,-8.294723,0.000000,0.000000
C12-1-28,-8.289946,0.000000,0.000000
C12-1-29,-8.432934,0.000000,0.000000
C12-1-30,-8.549771,0.000000,0.000000
C12-1-31,-8.575960,0.000000,0.000000
C12-1-32,-8.643098,0.000000,0.000000
C12-1-33,-8.685849,0.000000,0.000000
C12-1-34,-8.733338,0.000000,0.000000
C12-1-35,-8.783326,0.000000,0.000000
C12-1-36,-8.803578,0.000000,0.000000
C12-1-37,-8.849242,0.000000,0.000000
C12-1-38,-8.884683,0.000000,0.000000
C12-1-39,-8.924683,0.000000,0.000000
C12-1-40,-8.948695,0.000000,0.000000
C12-1-41,-8.963783,0.000000,0.000000
C12-1-42,-8.985175,0.000000,0.000000
C12-1-43,-8.845488,0.000000,0.000000
C12-1-44,-9.088799,0.000000,0.000000
C12-1-45,-8.609096,0.000000,0.000000
C12-1-46,-8.656130,0.000000,0.000000
C12-1-47,-8.393138,0.000000,0.000000
C12-1-48,-8.172737,0.000000,0.000000
C13-2-1,-2.877612,0.000000,0.000000
C13-2-2,-2.366718,0.000000,0.000000
C13-2-3,-2.902427,0.000000,0.000000
C13-2-4,-2.920399,0.000000,0.000000
C13-2-5,-2.887236,0.000000,0.000000
C13-2-6,-3.422997,0.000000,0.000000
C13-2-7,-2.398616,0.000000,0.000000
C13-2-8,-2.944559,0.000000,0.000000
C13-2-9,-2.917425,0.000000,0.000000
C13-2-10,-2.941233,0.000000,0.000000
C13-2-11,-2.986509,0.000000,0.000000
C13-2-12,-2.942333,0.000000,0.000000
C13-2-13,-2.941247,0.000000,0.000000
C13-2-14,-2.929624,0.000000,0.000000
C13-2-15,-2.927433,0.000000,0.000000
C13-2-16,-2.970091,0.000000,0.000000
C13-2-17,-3.449482,0.000000,0.000000
C13-2-18,-3.001117,0.000000,0.000000
C13-2-19,-2.674845,0.000000,0.000000
C13-2-20,-3.017078,0.000000,0.000000
C13-2-21,-3.028348,0.000000,0.000000
C13-2-22,-3.002623,0.000000,0.000000
C13-2-23,-3.063320,0.000000,0.000000
C13-2-24,-3.104820,0.000000,0.000000
C13-2-25,-3.113562,0.000000,0.000000
C13-2-26,-3.014828,0.000000,0.000000
C13-2-27,-3.216129,0.000000,0.000000
C13-2-28,-3.321777,0.000000,0.000000
C13-2-29,-3.244743,0.000000,0.000000
C13-2-30,-3.221016,0.000000,0.000000
C13-2-31,-3.280180,0.000000,0.000000
C13-2-32,-3.290634,0.000000,0.000000
C13-2-33,-3.302197,0.000000,0.000000
C13-2-34,-3.309023,0.000000,0.000000
C13-2-35,-3.336627,0.000000,0.000000
C13-2-36,-3.362931,0.000000,0.000000
C13-2-37,-3.375461,0.000000,0.000000
C13-2-38,-3.421493,0.000000,0.000000
C13-2-39,-3.435808,0.000000,0.000000
C13-2-40,-3.477749,0.000000,0.000000
C13-2-41,-3.489818,0.000000,0.000000
C13-2-42,-3.553778,0.000000,0.000000
C13-2-43,-3.755540,0.000000,0.000000
C13-2-44,-3.589821,0.000000,0.000000
C13-2-45,-4.154876,0.000000,0.000000
C13-2-46,-4.134999,0.000000,0.000000
C13-2-47,-4.436787,0.000000,0.000000
C13-2-48,-4.695984,0.000000,0.000000
C14-1,0.313639,0.000000,0.000000
C14-2,4.358617,0.000000,0.000000
C14-3,0.252772,0.000000,0.000000
C14-4,0.187747,0.000000,0.000000
C14-5,0.442138,0.000000,0.000000
C14-6,-1.321699,0.000000,0.000000
C14-7,4.395643,0.000000,0.000000
C14-8,0.327645,0.000000,0.000000
C14-9,0.598748,0.000000,0.000000
C14-10,0.548714,0.000000,0.000000
C14-11,0.349786,0.000000,0.000000
C14-12,0.780310,0.000000,0.000000
C14-13,0.291588,0.000000,0.000000
C14-14,0.622457,0.000000,0.000000
C14-15,0.902935,0.000000,0.000000
C14-16,0.754705,0.000000,0.000000
C14-17,-0.695776,0.000000,0.000000
C14-18,0.991111,0.000000,0.000000
C14-19,3.761116,0.000000,0.000000
C14-20,1.371986,0.000000,0.000000
C14-21,1.571875,0.000000,0.000000
C14-22,2.044172,0.000000,0.000000
C14-23,1.866582,0.000000,0.000000
C14-24,1.946046,0.000000,0.000000
C14-25,2.023279,0.000000,0.000000
C14-26,3.072537,0.000000,0.000000
C14-27,1.909763,0.000000,0.000000
C14-28,1.787325,0.000000,0.000000
C14-29,2.067856,0.000000,0.000000
C14-30,2.491907,0.000000,0.000000
C14-31,2.247632,0.000000,0.000000
C14-32,2.370621,0.000000,0.000000
C14-33,2.386240,0.000000,0.000000
C14-34,2.483350,0.000000,0.000000
C14-35,2.475658,0.000000,0.000000
C14-36,2.410250,0.000000,0.000000
C14-37,2.426653,0.000000,0.000000
C14-38,2.331805,0.000000,0.000000
C14-39,2.343796,0.000000,0.000000
C14-40,2.218889,0.000000,0.000000
C14-41,2.186979,0.000000,0.000000
